Tanggapan,SI,S_SI,I,S_I
sudah baik dan perlu dipertahankan,0,1,0,1
Cepat dan tepat,0,1,0,1
semoga semakin baik kedepannya,0,0,0,0
di tambah pelayannya,1,0,0,1
Semamgat,0,1,0,1
Lebih baik lg,0,0,0,0
baik,0,1,0,1
"Tune lebih diratakan lagi. Trutama d SC, kantin gku",0,1,0,1
good,0,1,0,1
"masih memberi informasi yang bersifat mendadak, itu membuat mahasiswa/i menjadi resah dan malah bersikap tak acuh",1,0,0,1
-,0,0,0,0
Diperbaik,0,0,0,0
baik dan bagus,0,1,0,1
permudah birokrasi dalam pendaftaran yg menyangkut sidang dan akademis,1,0,0,1
Untuk layanan sistem informasi menurut saya pelayanannya kurang cepat dan kurang begitu responsif,1,0,0,1
Bagus,0,1,0,1
Sudah Baik,0,1,0,1
dipermudah lagi untuk layanan pada sistem informasi,0,0,0,0
diupayakan informasi dapat  mudah disebar,0,0,0,0
Tidak ada,0,1,0,1
wifi kampus lama/lemot/lelet,0,1,1,0
"Banyakin admin layanan online nya, biar fast respon.",1,0,0,1
ditingkatkan terus kinerjannya untuk selalu menjadi yg terbaik,0,0,0,0
Sudah baik,0,1,0,1
"Terkadang pihak sisfo kurang tanggap dan cenderung lalai dalam melayani permohonana mahasiswa, suatu ketika ada kesalahan pada pencatatan sks pd sistem igracias saya , ada satu mata kuliah yang tidak tercantum padahal telah di ikuti, sehingga mengharuskan saya untuk meminta bantuan sisfo, ketika sampai di sisfo saya diminta untuk menuliskan matkul apa yang tidak tercantum , dan diminta untuk menunggu sampai besok , namaun setelah saya tunggu sampai esok hari tidak berubah juga sks nya, sehingga saya harus kembali ke sisfo , ketika sya mengutarakan komplen yang kedua kalinya ternyata pihak sisfo lupa menyimpan kertas yang berisi catatan matkul sya yang tidak tercantum , saya bilang kalau saya tidak akan pergi dari sisfo sampai sks saya berubah , dan pooooffff tidak sampai 5 menit sks saya sudah berubah. apa harus ditungguin biar di perhatikan? -_-",1,0,0,1
sudah baik dan harus lebih di tingkatkan,0,1,0,1
"pelayanan pada ukm tidak ada respon keluhan di SC(Student Center) yang banyak kerusakan, kebersihan, dan sangat dikeluhkan tidak adanya fasilitas internet di Student Center",1,0,0,1
BELUM PERNAH MENCOBA.,0,1,0,1
tidak ada,0,1,0,1
sangan sudah baik,0,1,0,1
saran baik dan tingkatkan kinerjanya,0,1,0,1
sungguh puas,0,1,0,1
sudah baik,0,1,0,1
lebih baik lagi,0,0,0,0
"banyak akun tune yang tertukar dengan akun orang lain, sehingga akun orang tersebut ketika log in menjadi maximum user",1,0,0,1
tingkatkan layanan informasi dalam onine,0,0,0,0
memuaskan,0,1,0,1
Berikan saran/masukan Saudara/i terkait dengan implementasi layanan di Universitas Telkom dalam bidang Layanan Sistem Informasi,0,1,0,1
"Dalam layanan akademik, harusnya dalam hal pengumuman atau sosialisasi terkait hal akademik, biasanya terlalu mendadak, sehingga mempersulit mahasiswa dan dosen. Saran jangan terlalu mendadak.",1,0,0,1
selain lewat online ada baiknya informasi di sebarkan manual lewat mading seperti itu.,1,0,0,1
nothing,0,1,0,1
lebih gencar lagi dalam memberikan info lewat semua media,1,0,0,1
Tidak ada,0,1,0,1
sudah bagus,0,1,0,1
Sudah cukup baik,0,1,0,1
cukup,0,1,0,1
-,0,0,0,0
Tidak ada saran,0,1,0,1
semangat,0,1,0,1
good,0,1,0,1
lebih meningkatkan kualitasnya,0,0,0,0
Cukup Baik,0,1,0,1
(tidak ada),0,1,0,1
sudah cukup puas,0,1,0,1
-,0,0,0,0
Sudah baik kadang tunenya saja tidak bisa,1,0,0,1
sudah memadai,0,1,0,1
baik,0,1,0,1
Lanjutkan,0,1,0,1
tetap jalani aturan dengan semestinya,1,0,0,1
sangat memuaskan,0,1,0,1
"Sudah bagus,",0,1,0,1
sudah cukup baik,0,1,0,1
lebih cepat dan tepat,0,0,0,0
semuanya cukup,0,1,0,1
akses informasi lebih dimudahkan,1,0,0,1
Layanan bidang sisfo telkom sudah baik.,0,1,0,1
wifi lebih baik jika dalam satu gedung tidak perlu login yang berulang kali,1,0,1,0
ok,0,1,0,1
sudah baik,0,1,0,1
lebih ditingkatkan lagi pelayanannya,1,0,0,1
tidak ada,0,1,0,1
Sudah baik,0,1,0,1
Sudah baik tapi tingkatkan lagi,0,1,0,1
sudah cukup bagus,0,1,0,1
siip,0,1,0,1
tidak ada,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
adakan acara untuk laptop yang tidak bisa masuk tune,1,0,0,1
Cukup baik,0,1,0,1
Semoga lebih baik lagi kedepannya.,0,0,0,0
Tidak ada,0,1,0,1
masih suka error saat sedang input TAK tolong diperbaiki lg agar tidak selalu ada error di igracias,1,0,0,1
sudah cukup baik,0,1,0,1
"lebih ditingkatkan ,dan dikembangkan.",0,0,0,0
Sudah baik,0,1,0,1
Semoga lebih ditingkatkan lagi pelayanannya,1,0,0,1
cukup bagi saya,0,1,0,1
Aplikasi HP until igracias,1,0,0,1
cukup,0,1,0,1
Lebih sering dan jelas jika memberikan info,1,0,0,1
Baik,0,1,0,1
wifi id nya ada yng menggunakan netcut,0,1,1,0
lebih ditingkatkan kembali untuk keamanan sistemnya,1,0,0,1
Lebih ditingkatkan,0,0,0,0
layanan sistem informasi sudahh dapat diakses dengan mudah,0,1,0,1
belum terlalu tolong diperbaiki,0,0,0,0
"kinerja TUNE masih belum cukup baik, karena di jam sibuk seperti saat akan mengadakan kuis online di kelas TUNE malah sama sekali tidak bisa digunakan",1,0,0,1
nih,0,1,0,1
sudah baik sehingga hanya perlu dipertahankan,0,1,0,1
Lebih ramah lagi,1,0,0,1
"untuk bidang sistem informasi, masih kurang dalam bidang pelayanan yang baik ramah serta melayani sesuai yang dibutuhkan",1,0,0,1
Perbaiki kualitas dan kecepatan jaringan tune,1,0,1,0
lebih ditingkatkan dalam mengatasi website igracias agar tidak sering down saat diakses,1,0,0,1
Sangat baik. Pertahankan dan tingkatkan.,0,1,0,1
layanan informasi sudah sangat baik.. mungkin bisa di optimalkan,0,1,0,1
sudah cukup baik,0,1,0,1
"layanan sisfo kurang baik. informasi yang didapat kadang mengambang tidak jela, tidakada kepastianya, dan pelayanannya juga tidak ramah bahkan sinis.",1,0,0,1
lebih baik lagi kedepannya,0,0,0,0
bagus,0,1,0,1
bagus karena mempermudah mahasiswa mendapat informasi,1,1,0,1
No Comment,0,1,0,1
bagus,0,1,0,1
-,0,0,0,0
Semoga bisa lebih baik lagi,0,0,0,0
tidak ada,0,1,0,1
sudah cukup lengkap,0,1,0,1
a,0,0,0,0
Lebih baik lagi kedepannya,0,0,0,0
sudah bagus,0,1,0,1
baik,0,1,0,1
lebih di perbaiki lagi,0,1,0,1
jadi lebih baik dari sebelumnya,0,1,0,1
Tidak ada,0,1,0,1
sudah baik,0,1,0,1
sudah baik,0,1,0,1
tingkatkan,0,0,0,0
Semoga layanan di Universitas Telkom dalam bidang Layanan Sistem Informasi menjadi lebih baik lagi kedepannya.,0,1,0,1
-,0,0,0,0
"sangat kurang, informasi kurang informatif untuk keseluruhan bagi mahasiswa dan terkadang simpang siur, bagian informasi juga tidak dapat memberikan jawaban",1,0,0,1
sejauh ini sudah bagus,0,1,0,1
staff yang melayani nya lebih ramah lagi terhadap mahasiswa.,1,0,0,1
-,0,0,0,0
cukup bagus,0,1,0,1
"dalam sistem informasi, layanan sudah lebih baik dan tingkatkan lagi sistem informasinya",0,1,0,1
ys,0,0,0,0
Layanan sisfo sudah baik dan juga cepat tanggap,0,1,0,1
tidak ada,0,1,0,1
puas,0,1,0,1
puas,0,1,0,1
Sudah cukup baik,0,1,0,1
"dalam layanan sistem informasi terkadang terjadi kesalahan yg tidak terduga, sarannya pada bagian sisfo lebig cepat tanggap lg apabila terjadi kesalahan atau gangguan",1,0,0,1
sudah bagus tetap dipertahankan,0,1,0,1
"Informasi yang diberikan sudah layak, hanya saja semua orang orang tidak mengetahui layanan itu.",1,1,0,1
mk,0,1,0,1
Semoga lebih baik lagi,0,0,0,0
.,0,0,0,0
tidak ada,0,1,0,1
layanan LAK sebenernya saya sering kecewa oleh LAK karena pelayanan nya sangat buruk .,1,0,0,1
tidak ada,0,1,0,1
tolong di perbaikin lgi,0,0,0,0
percepat,0,0,0,0
"Mempercepat proses penangulangan masalah yang terjadi sehingga tidak menjadi terlarut larut, serta memperbaiki kominikasi antar pegawai/instansi karena komunikasi mereka sangatlah bobrok sekali.",1,0,0,1
lebih baik lagi,0,0,0,0
lebih ditingkatkan lg,0,0,0,0
Cuku,0,1,0,1
-,0,0,0,0
terkadang dalam beberapa penyampaian informasi antara pihak sisfo dan prodi terdapat ketidaksesuaian. sehingga mahasiswa mendapat 2 informasi yang berbeda.,1,0,0,1
,0,0,0,0
,0,0,0,0
Lebih baik lagi,0,1,0,1
tolong lebih ramah dan murah senyum,1,0,0,1
lebih ditingkatkan lagi,0,0,0,0
sudah bagus,0,1,0,1
sudah bagus,0,1,0,1
telah berjalan dengan baik,0,1,0,1
Bagus,0,1,0,1
sudah bagus,0,1,0,1
pelayanan diperbaiki lagi.,1,0,0,1
Sudah bagus,0,1,0,1
Good,0,1,0,1
lebih tingkatkan kemudahan akses informasi bagi mahasiswa,1,0,0,1
"perbesar kapasiatas server , sehingga server tidak down saat registrasi semester",1,0,0,1
terkadang jaringan internet susah terhubung,1,0,1,0
Sudah baik,0,1,0,1
terkait dengan akun tune yang sering nyangkut ditempat orang lain sebaiknya diperbaiki,1,0,0,1
Baik,0,1,0,1
-,0,0,0,0
semoga lebih baik,0,1,0,1
"Responnya bagus dan cepat, sangat membantu",0,1,0,1
membuat aplikasi mobile agar mahasiswa cepat dan mudah mengakses informasi,1,0,0,1
tune suka down kalo lagi dibutuhin semoga diperbaiki lagi,1,0,0,1
Semoga lebih baik lagi kedepannya,0,0,0,0
tidak ada saran,0,1,0,1
"Terkadang presensi tidak terbaca oleh mesin tapping KTM, membuat saya harus mengurus lagi ke dosen yang bersangkutan karena dikira absen menghadiri kelas Beliau padahal karena mesin nya rusak sehingga saya tidak dianggap hadir.",1,0,0,1
Seharusnya dikasih tau dimana tempat mahasiswa untuk menanyakan sesuatu seperti solution center,1,0,0,1
Cukuo bagus,0,1,0,1
permudah saat akan mengakses tune,1,0,0,1
informasi-informasi mudah ditemukan,1,1,0,1
bagus,0,1,0,1
semoga lebih baik kedepannya. lebih mementingkan pelayanan agar lebih baik juga.,1,0,0,1
Sudah cukup baik,0,1,0,1
berikan lapangan parkir yang memadai,0,1,0,1
sudah cukup mudah dalam mendapatkan informasi,1,1,0,1
sudah cukup baik,0,1,0,1
lebih baik lagi,0,1,0,1
sudah baik,0,1,0,1
Kadang wifi kampus tidak bisa di akses dan jika ada quis online igracias susah di akses nya,1,0,1,0
Layanan informasi yang baik.,0,1,0,1
Lebih diperhatikan jika server bermasalah,1,0,0,1
"Sebaiknya layanan akses TUNE bisa diakses oleh 3 device, bukan hanya satu device",1,0,0,1
Informasi lebih disebarluaskan lagi,1,0,0,1
lebih ditingkatkan lagi,0,0,0,0
"Sudah bagus, pertahankan",0,1,0,1
No comment,0,1,0,1
Sudah baik hanya saja perlu ditingkatkan,0,1,0,1
"Kurang aktif layanan informasi di sosial media, seperti LINE",1,0,0,1
cukup baik. kedepannya perlu diperbaiki agar lebih baik kedepannya.,0,1,0,1
sudah baik,0,1,0,1
puas,0,1,0,1
kadang informasi yang diberikan tiba-tiba/mendadak. jadi saran saya informasi yang diberikan harus diberitahu 2/3 hari sebelum hari H.,1,0,0,1
untuk informasi sudah lengkap dan bagus,0,1,0,1
tidak ada,0,1,0,1
Tidak ada saran,0,1,0,1
Koneksi kurang cepat,0,1,1,0
Kurang baik,0,0,0,0
puas,0,1,0,1
TUNE diperbaiki,1,0,0,1
-,0,0,0,0
Lebih ramah,1,0,0,1
Lebih baik,0,0,0,0
-,0,0,0,0
Terlalu banyak konten,1,0,0,1
dikembangkan,0,0,0,0
kalender akademik tidak update,1,0,0,1
Memberikan satu tempat pusat informasi akan menjadi solusi yang terbaik untuk mahasiswa yang membutuhkan informasi tersebut,1,0,0,1
baik,0,1,0,1
Sudah baik,0,1,0,1
layanan sistem informasi sudah baik,0,1,0,1
sudah cukup bagus,0,1,0,1
Sangat Puas,0,1,0,1
diperbaiki,0,0,0,0
pelayanan tidak memadai dan kuranng informatif dan responsif. acuh dan judes dalam melayani,1,0,0,1
Tidak ada,0,1,0,1
Sudah bagus.,0,1,0,1
baik,0,1,0,1
Lebih ditingkatkan lagi,0,0,0,0
sudah cukup baik,0,1,0,1
Tak ada,0,1,0,1
baik,0,1,0,1
"Tetap semangat, ditingkatkan lagi saja ya!:)",0,0,0,0
semoga lebih bak lagi,0,1,0,1
sudah baik namun perlu ditingkatkan lagi,0,1,0,1
Sudah baik,0,1,0,1
no,0,1,0,1
good,0,1,0,1
secepatnya diperbaiki,0,0,0,0
Kecepatan internet yang sering eror.,0,1,1,0
pemberitahuan lebih cepat melalui teknologi,1,0,0,1
very nice,0,1,0,1
"layanan sistem informasi sudah bagus, namun harus lebih ditingkatkan lagi kinerjanya, bila perlu setiap area di telkom harus ada jaringan internet",0,1,1,0
sangat baik,0,1,0,1
sudah bagus tp keamanan Igracias tolong di perketat lg,1,0,0,1
sudah bagus,0,1,0,1
Lebih diperbanyak lagi server nya agar tidak lama,1,0,0,1
"Baik, mohon ditingkatkan kembali.",0,1,0,1
-,0,0,0,0
Sudah bagus,0,1,0,1
pelatanan sudah cukup baik,0,1,0,1
-,0,0,0,0
layanan internet di perbaiki,0,1,1,0
the system is modern,1,1,0,1
Tidak ada komentar,0,1,0,1
ngisi sangat puas karena biar cepet bukan karena emang puas,0,0,0,0
perjelas via sms,1,0,0,1
kurang menyeluruh,0,0,0,0
Harus lebih ditingkatkan lagi,0,0,0,0
Di perbaiki agar lebih baik,0,0,0,0
informasi yang terkirim ke mahasiswa kurang cepat dan terkesan mendakak,1,0,0,1
Lebih ditingkatkan lagi,0,0,0,0
-,0,0,0,0
"keep smile, jgn pd jutek2",1,0,0,1
sudah bagus,0,1,0,1
kurang begitu bagus,0,1,0,1
cukup baik/ Universitas Telkom dalam bidang Layanan Sistem Informasi cukup membantu mahasiswa dalam informasi,0,1,0,1
Y,0,0,0,0
ok,0,1,0,1
lebih baik lagi,0,0,0,0
Maaf ya saya gapunya lebih baik lagi bu,0,0,0,0
please give the information as soon as possible,1,0,0,1
kurang bagus,0,0,0,0
The information is really accurate,1,1,0,1
Harus diperbaiki sistemnya,1,0,0,1
Harus ramah dan harus welcome jangan di persulit dan harus benar-benar membantu mahasiswanya,1,0,0,1
ok,0,1,0,1
Memuaskan,0,1,0,1
Semoga lebih baik lagi,0,0,0,0
Tingkatkan,0,0,0,0
,0,0,0,0
perbaiki lagi,0,0,0,0
Layanan Sistem Informasi sangat bagus,0,1,0,1
lebih cepat dan tanggap dalam menjawab keluhan mahasiswa,1,0,0,1
tidak ada saran karena semuanya sudah cukup baik,0,1,0,1
sangat memuaskan,0,1,0,1
kurang kencang wifi,0,1,1,0
belum ada,0,1,0,1
sangat puas sangat puas,0,1,0,1
Cukup baij,0,1,0,1
lebh ditinggalkan,0,0,0,0
"sudah bagus, tingkatkan lg",0,1,0,1
informasi kadang tidak tersampai,1,0,0,1
.,0,0,0,0
tidak ada,0,1,0,1
ya,0,1,0,1
Lebih fleksibel,0,0,0,0
situs igracias lebih diperluas servernya,1,0,0,1
Sudah cukup baik,0,1,0,1
semoga sisfo merespon dan melayani keluhan lebih cepat,1,0,0,1
..........,0,0,0,0
bagaus,0,1,0,1
sudah baik,0,1,0,1
tingkatkan,0,0,0,0
Bikin aplikasi yg mudah,1,0,0,1
ruang informasi yang terpusat,1,0,0,1
cukup baik,0,1,0,1
lebih baik lagi,0,1,0,1
pas,0,1,0,1
sudah cukup baik,0,1,0,1
-,0,0,0,0
"Dalam jurusan SI ini saya merasa terkendala dalam praktikum berbasis online dikarenakan banyaknya peserta praktikum yang mengkuti, jadi server overload mengakibatkan tidak dapat masuk ke applikasi untuk praktikum online dan dapat menyita waktu pengerjaan praktikum dikarenakan tidak dapat login ke applikasi tersebut.",1,0,0,1
lebih di tingkatkan lagi.,0,0,0,0
Akses sudah cukup baik,0,1,0,1
,0,0,0,0
"sudah ok lanjutkan,",0,1,0,1
sangat perlu dievaluasi dikembangkan agar semua resource dapat digunakan dengan baik,1,0,0,1
lebih ditingkatkan lagi,0,0,0,0
.,0,0,0,0
sudah baik,0,1,0,1
Sistem diperbaiki dari absensi yg sering beda dengan kehadiran asljnya. Rfid yg sering tidak terbaca oleh igracias. Wifi yg lemot. Dan sering juga saat mengisian krs bermasalah tidak trsedianya kelas.,1,0,1,0
sudah baik hanya perlu ditingkatkan lagi fasilitas yang kurang,0,1,0,1
..,0,0,0,0
leih dibaguskan lagi untuk pelayanannya,1,0,0,1
"tetap stabil, tingkatkan kecepatan",0,0,0,0
untuk saat ini sudah cukup baik,0,0,0,0
semoba lebih baik kedepannya,0,1,0,1
Kurang Update,1,0,0,1
Sudah cukup bagus tapi masih perlu ditingkatkan,0,1,0,1
baik,0,1,0,1
"perbaiki lagi, masih kurang",0,1,0,1
hkjjkj,0,0,0,0
lebih di perbaiki layanan,0,0,0,0
sudah cukup,0,1,0,1
pertahankan,0,1,0,1
-,0,0,0,0
sebaiknya ditingkatkan,0,0,0,0
cukup menginformasi,1,1,0,1
-,0,0,0,0
Kurangnya akses internet (Tune),1,0,1,0
"harus memberikan info yang mendadak, harus memberikan info jauh-jauh hari",1,0,0,1
mohon agar lebih tanggap dan cepat dalam layanan sistem informasi,1,0,0,1
ada apllikasi smartphone,1,0,0,1
,0,0,0,0
sudah baik,0,1,0,1
"layanan siste informasi telkom menurut saya masih kurang baik karena layanan kurang cepat tanggap terhadap masalah yang dihadapi oleh mahasiswa. informasi yang diberikan seringkali mendadak dan kurang detail sehingga muncul banyaknya pertanyaan"" yang diajukan karena kurag jelas (tidak spesifik)",1,0,0,1
Perlu meningkatkan TUNE sehingga dapat digunakan dengan semestinya,1,0,0,1
Agar Tune tidak sering mengalami error,1,0,0,1
"tingkatkan lagi di bagian i-gracias, jika bisa i-gracias bisa memiliki App pada hp. Sehingga dapat lebih mudah dalam mengakses informasin kampus. tak lupa juga fitur notifikasi bisa di tambahkan ke App hp.",1,0,0,1
sudah baik,0,1,0,1
Servernya ditambah,1,0,0,1
Bagus,0,1,0,1
tingkatkan,0,0,0,0
.,0,0,0,0
sudah cukup puas,0,1,0,1
"sejauh ini sudah baik, mohon dipertahankan dan lebih ditingkatkan lagi",0,1,0,1
sudah bagus,0,1,0,1
Baik,0,1,0,1
-,0,0,0,0
semoga lebih baik lagi untuk kedepannya,0,0,0,0
layanan SISFO sudah bagus,0,1,0,1
ok,0,1,0,1
kurang tau,0,1,0,1
Lebih baik lagi.,0,0,0,0
lebih baik lagi,0,0,0,0
"untuk layanan sistem informasi, semoga bisa ditingkatkan lagi pelayanan informasinya. semua sudah baik dan oke.",1,0,0,1
informasinya sudah baik,1,1,0,1
lebih baik aja kedepannya dalan segala hal,0,0,0,0
"tidak ada, menurut saya sudah bagus",0,1,0,1
sudah baik,0,1,0,1
komentar saya cukup baik dan terus tingkatkan,0,1,0,1
di per baiki dalam servernya jika pada saat menerima load mahasiswa/i yg banyak tidak down,1,0,0,1
Ok,0,1,0,1
Lebih di tingkatkan lagi karena masih banyak sistem yg kadang tidak berjalan dgn baik,0,0,0,0
baik,0,1,0,1
layanan informasi yang diberikan sudah baik,1,1,0,1
Good,0,1,0,1
Akun igracias sering mengalami kecacatan.,1,0,0,1
cukup baik,0,1,0,1
sangat baik & semoga lancar dst,0,1,0,1
kecepatan internet di tambah lagi,0,1,1,0
Dipercepat jika ada server down,1,0,0,1
sistem pendistribuusian informasi di tingkatkan,1,0,0,1
tingkatkan lg layanannya,0,0,0,0
Lebih ditingkatkan,0,0,0,0
sudah bagus,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
,0,0,0,0
semoga semakin membaik untuk kedepannya,0,0,0,0
Terus ditingkatkan,0,0,0,0
"sisfo sudah bagus, igracias sudah oke. tapi terkadang dibeberapa browser HP kita tidak bisa membuka menu di igracias.",1,0,0,1
sudah cukup baik,0,1,0,1
oke,0,1,0,1
Lebih ditingkatkan lagi kinerja layanan sistembinformasi,0,0,0,0
ok,0,1,0,1
,0,0,0,0
sudah sangat baik,0,1,0,1
.,0,0,0,0
fasilitas yang memadai serta pelayanan yang ramah. kualitas layanan sistem informasi di fri perlu ditingkatkan,1,0,0,1
cukup baik,0,1,0,1
tidak ada saran,0,1,0,1
"bagus, mempermudah mahasiswa melihat info info telkom",1,1,0,1
"sudah baik, mohon di tingkatkan kembali",0,1,0,1
air keran di kamar mandi banyak cacing,0,1,0,1
-,0,0,0,0
Ok,0,1,0,1
"untuk segi layanan saya rasa sudah cukup,",0,1,0,1
sudah cukup baik,0,1,0,1
semakin lebih baik lagi,0,0,0,0
ditingkatkan,0,0,0,0
Cukuppp,0,1,0,1
udah lumayan bagus,0,1,0,1
lebih ditingkatkan lagi pelayanan nya,1,0,0,1
Pertahankan dan tingkatkan lagi,0,1,0,1
"Dalam bidang layanan sistem informasi sudah cukup baik, mungkin seharusnya lebih diumumkan lagi kegunaan dari layanan sistem informasi khususnya kepada mahasiswa baru",0,1,0,1
untuk reg matkul kalau bisa diperbaiki agar jangan seperti sebelumnya,1,0,0,1
,0,0,0,0
pelayanan sisfo untuk mahasiswa yang ingin bertanya di respon dengan cepat,1,0,0,1
-,0,0,0,0
Wifiiii,0,1,1,0
kamar mandi kurang rapih,0,1,0,1
hmmm wifii wiffii,0,1,1,0
Bila ada info yang sangat penting harap tidak mendadak dan todak diunah seenaknya,1,0,0,1
lwjef;wjelfjw;ejf,0,0,0,0
sudah sangat bagus,0,1,0,1
kurang baik,0,0,0,0
Terus ditingkatkan,0,0,0,0
Lebih baik lagi,0,0,0,0
sudah maksimal menurut saya,0,1,0,1
.,0,0,0,0
internet kurang memadai dan tidak berimbang dengan jumlah mahasiswa,0,1,1,0
Terus berkarya,0,1,0,1
layanan informasi sudah cukup bagus dikarenakan adanya igracias,1,1,0,1
b,0,0,0,0
"sangat bagus , dan mudah digunakan",0,1,0,1
layanan sistem informasi di universitas telkom sudah baik dan user friendly,1,1,0,1
be better,0,0,0,0
"Mohon tune untuk segera diperbaiki, dan jangkauannya diperluas",1,0,0,1
Cukup baik,0,1,0,1
sudah bagus,0,1,0,1
lbih di tingkat lagi dalam keamanan sisfonya,1,0,0,1
Untuk Sistem Informasi sudah berjalan dengan baik,0,1,0,1
.,0,0,0,0
"Sudah baik, namun lebih baik ditingkatkan lagi. Juga sebaiknya adanya pemberian informasi melalui SMS karena tak semua mahasiswa berkecimbung di sosial media.",1,0,0,1
tidak ada,0,1,0,1
sudah bagus,0,1,0,1
sudah cukup,0,1,0,1
Tingkatkan,0,0,0,0
semoga lebih baik lagi jaringannya,0,1,1,0
,0,0,0,0
Cukup puas,0,1,0,1
baik,0,1,0,1
y,0,0,0,0
semoga juh lebih baik untuk kedepanny,0,1,0,1
implementasi layanan di Universitas Telkom dalam bidang layanan sistem informasi sudah cukup memadai,0,1,0,1
-,0,0,0,0
pertahankan yang sudah baik,0,1,0,1
butuh untuk di upgrade atau penyebaran informasi ditingkatkan,1,0,0,1
